Preferred Name	NCGC Lib	SMILES	ML	Report Title	Probe Report URL (old mli links are down)	Source	Probe Present	comment	MLS_ID	SMR_ID	SID	CIDs
	MLS000042013-01|NCGC00067332-01	CN(C)c1oc(nc1C#N)-c1ccc(OCc2ccc(Cl)cc2)cc1	ML001	Inhibitor of Bacillus stearothermophilus Pyruvate Kinase 	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=698	old pdf recovered from webarchive	Probe present		"MLS000042013, MLS002583927"	SMR000044269	862236	
	NCGC00015800-01|NCGC00015800-02|NCGC00015800-03|NCGC00015800-04|NCGC00015800-05|NCGC00015800-06|NCGC00015800-07|NCGC00094237-01|NCGC00094237-02|NCGC00094237-03|NCGC00094237-04|NCGC00094237-05|NCGC00167918-01	[O-][n+]1onc(c1C#N)-c1ccccc1	ML002	Inhibitor of Schistosoma Mansoni Redox Cascade	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=699	old pdf recovered from webarchive	Probe present		MLS002474520	SMR001398689	11111612	
	MLS000081884-01|NCGC00037774-01	Cc1nn(c(N)c1Sc1ccc(F)cc1)-c1nc(C)cc(C)n1	ML003	Sphingosine-1-phosphate receptor 1 (S1P1) Agonist	http://www.ncbi.nlm.nih.gov/books/NBK133421	NCBI Bookshelf Probe Report	Probe present		MLS000081884	SMR000060530	"3714904, 112379033"	
	MLS000116372-01|NCGC00083382-01	CCCc1cc(no1)C(=O)N(C1CCCCC1)C1CCCCC1	ML004	Probe Development Efforts for an Allosteric Agonist of the Sphingosine 1-phosphate Receptor 3 (S1P3)	http://www.ncbi.nlm.nih.gov/books/NBK133421	NCBI Bookshelf Probe Report	Probe present		"MLS000116372, MLS003879391"	SMR000093349	"7967985, 112379041"	
	MLS000082983-01|NCGC00068596-01	Cc1cc(C)n(n1)-c1nc(NCCCO)c2c3CCCCc3sc2n1	ML005	Probe Development Efforts for an Allosteric Agonist of the Sphingosine 1-phosphate Receptor 3 (S1P3)	http://www.ncbi.nlm.nih.gov/books/NBK133421	NCBI Bookshelf Probe Report	Probe present		"MLS000082983, MLS002583889"	SMR000046567	"864271, 112379040"	
	MLS000106215-01|NCGC00074765-01	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1	ML006	Probe Development Efforts for an Allosteric Agonist of the Sphingosine 1-phosphate Receptor 3 (S1P3)	http://www.ncbi.nlm.nih.gov/books/NBK133421	NCBI Bookshelf Probe Report	Probe present		"MLS000106215, MLS003904474"	SMR000103184	"7977380, 112379039"	
	MLS000063560-01|NCGC00058965-01	CCOc1ccc(cc1OCC)-c1nc(no1)-c1ccncc1	ML007	Sphingosine-1-phosphate receptor 1 (S1P1) Agonist	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=719	old pdf recovered from webarchive	Probe present		MLS000063560	SMR000075132	"4258673, 112379035"	
	MLS002474532-01|NCGC00092410-01|NCGC00092410-02	Cc1cc(nc2ccc(NC(=O)C3CCCCC3)cc12)N1CCOCC1	ML008	Glucocerebrosidase Inhibitor (Chemotype 1)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=696	old pdf recovered from webarchive	Probe present		MLS002474532	SMR001398705	"99495573, 26753329"	
	MLS000049896-01|NCGC00060210-01|NCGC00060210-02	CCc1nnc(NC(=O)c2ccc(NS(=O)(=O)c3ccccc3)cc2)s1	ML009	Glucocerebrosidase Inhibitor (Chemotype 2)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=695	old pdf recovered from webarchive	Probe present		MLS000049896	SMR000076964	"4264637, 50105141"	
	MLS001065842-01|NCGC00166330-01|NCGC00166330-02|NCGC00166330-03	CC(C)(C)Oc1ccccc1Nc1nc(NCCO)nc(n1)N1CCCC1	ML010	Glucocerebrosidase Inhibitor (Chemotype 3)	http://web.archive.org/web/http://mli.nih.gov/mli/?dl_id=697	old pdf recovered from webarchive	Probe present		MLS001065842	SMR000486331	"49645689, 29218088"	
