Source_Type	Probe_ID	smiles	Sample_IDs	PubChem_CID	URL for CID resolution (if needed)	
Query	ML001	CN(C)C1=C(N=C(O1)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl)C#N	MLS000042013-01|NCGC00067332-01	663459		
Query	ML002	C1=CC=C(C=C1)C2=NO[N+](=C2C#N)[O-]	NCGC00015800-01|NCGC00015800-02|NCGC00015800-03|NCGC00015800-04|NCGC00015800-05|NCGC00015800-06|NCGC00015800-07|NCGC00094237-01|NCGC00094237-02|NCGC00094237-03|NCGC00094237-04|NCGC00094237-05|NCGC00167918-01	1756		
Query	ML003	CC1=NN(C(N)=C1SC2=CC=C(F)C=C2)C3=NC(C)=CC(C)=N3	MLS000081884-01|NCGC00037774-01	2321431		
Query	ML004	CCCC1=CC(=NO1)C(=O)N(C2CCCCC2)C3CCCCC3	MLS000116372-01|NCGC00083382-01	5309153		
Query	ML005	CC1=NN(C(C)=C1)C2=NC3=C(C4=C(CCCC4)S3)C(NCCCO)=N2	MLS000082983-01|NCGC00068596-01	665518		
Query	ML006	C1CN(CCO1)C2=NN=C(C3=CC=CC=C3)C(=N2)C4=CC=CC=C4	MLS000106215-01|NCGC00074765-01	2842253		
Query	ML007	CCOC1=CC=C(C=C1OCC)C2=NC(=NO2)C3=CC=NC=C3	MLS000063560-01|NCGC00058965-01	976135		
Query	ML008	CC1=CC(=NC2=CC=C(NC(=O)C3CCCCC3)C=C12)N4CCOCC4	MLS002474532-01|NCGC00092410-01|NCGC00092410-02	5067281		
Query	ML009	CCC1=NN=C(NC(=O)C2=CC=C(NS(=O)(=O)C3=CC=CC=C3)C=C2)S1	MLS000049896-01|NCGC00060210-01|NCGC00060210-02	2210290		
Query	ML010	CC(C)(C)OC1=CC=CC=C1NC2=NC(=NC(NCCO)=N2)N3CCCC3	MLS001065842-01|NCGC00166330-01|NCGC00166330-02|NCGC00166330-03	17757274		
Query	ML012	C1CN(CCN1C2=CC=NC=C2)C(=O)CCNS(=O)(=O)C3=CC=CC4=NSN=C43.O	NCGC00370817-01|NCGC00370817-02|NCGC00370817-03	71311902		
Query	ML013	CC1=NC2=C(C(=N1)SCC3=NC4=CC=CC=C4N3)OC5=CC=CC=C52	MLS000041718-01|NCGC00067819-01|NCGC00067819-02|NCGC00067819-03	664279		
Query	ML014	OC(=O)C(F)(F)F.OC(C(=O)N1CCC(CC1)NC2=CC3=C(NN=C3)C=C2)C4=CC=C(Br)C=C4	MLS002554295-01	16681731		
Query	ML017	CCOC(=O)C(C)OC1=C2C=CN(CC(=O)NC3=CC=C(OC)C=C3)C(=O)C2=CC=C1	MLS002474583-01	4131581		
Query	ML018	CCCCOC1=C2C=CN(CC(=O)NC3=CC=C4OCCOC4=C3)C(=O)C2=CC=C1	MLS002474513-01	23640021		
Query	ML019	CCOC(=O)C(C)OC1=C2C=CN(CC(=O)NC3=CC=C4OCCOC4=C3)C(=O)C2=CC=C1	MLS000103673-01|NCGC00081778-01|NCGC00081778-02|NCGC00081778-03|NCGC00081778-04|NCGC00081778-05|NCGC00081778-06|NCGC00261682-01	4076092		
Query	ML021	[I-].CCCCCC[N+]1=CC=CC=C1\C=C\C2=CC=C(C=C2)N(C)C	MLS002474534-01|NCGC00386876-01	5716367		
Query	ML025	CC(C)(C)OC(=O)NCCC1=NN=C(O1)S(=O)(=O)CC2=C(C=C(C=C2)Cl)Cl	MLS000041932-01|NCGC00067552-01	665449		
Query	ML026	C1=CC=C2C(=C1)C=CC=C2CC(C(=O)O)N3C(=O)C4=C(C3=O)C=C(C=C4)C(=O)O	MLS002474531-01|NCGC00161790-01|NCGC00161790-02	16752640		
Query	ML028	COC1=CC=C(OC)C(=C1)S(=O)(=O)NC2=CN=C3C=CC=CC3=C2	MLS000088377-01|NCGC00058397-01	2931238		
Query	ML029	Br.CC1=CC2=C(C=C1C)N(CC(=O)C3=CC(=C(O)C(=C3)C(C)(C)C)C(C)(C)C)C(NCCCO)=N2	MLS001362415-01|NCGC00370721-01|NCGC00370721-02|NCGC00370721-03|NCGC00370721-04|NCGC00370721-05|NCGC00370721-06|NCGC00370721-07|NCGC00370721-08	2858523		
Query	ML030	COC1=CC(=C(C=C1)OC)C2=NN=C3N2N=C(CS3)C4=CC(=C(C=C4)OC)OC	MLS002264357-01|NCGC00165289-01|NCGC00165289-02|NCGC00165289-03|NCGC00165289-04|NCGC00165289-05|NCGC00165289-06	17757146		
Query	ML031	CC1=CC(C(=O)CN2C(=O)CCC2=O)=C(C)N1CC3=CC=CC=C3	MLS000057725-01|NCGC00041548-01|NCGC00041548-02|NCGC00041548-03|NCGC00041548-04|NCGC00041548-05	2113511		
Query	ML032	COC1=CC=C(CSC2=NC(=O)C=C(C)N2)C=C1	MLS000109390-01|NCGC00079845-01	716696		
Query	ML033	ClC1=CC=C(CSC2=NC(=O)C3=C(CCC3)N2)C=C1	MLS000062185-01|NCGC00062557-01	2047223	https://pubchem.ncbi.nlm.nih.gov/substance/ML033#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML033#section=Top
Query	ML034	OC(=O)CCC(NS(=O)(=O)C1=CC=C(C=C1)C2=CC=CC=C2)C(O)=O	MLS000075919-01|NCGC00031300-01	644601		
Query	ML037	CCN(CC)C1=CC=C(C=C1)C2NC3=CC=CC=C3NC4=C2C(=O)CC(C4)C5=CC=CC=C5	NCGC00350921-01	2878746		
Query	ML038	O=C1C2CC=CCC2C(=O)N1C3=NNC(=N3)C4=CC=CC=C4	MLS000528324-01	2946732		
Query	ML041	CN(C)C1=C(Cl)C(=O)N(C1=O)C2=CC=C(Cl)C(Cl)=C2	MLS000710900-01		https://pubchem.ncbi.nlm.nih.gov/substance/ML041#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML041#section=Top
Query	ML042	CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C2=CC=C(F)C=C2)C(F)(F)F	MLS000100272-01|NCGC00053095-01|NCGC00053095-02		https://pubchem.ncbi.nlm.nih.gov/substance/ML042#section=Top	https://pubchem.ncbi.nlm.nih.gov/substance/ML042#section=Top
Query	ML047	CC(C)C(=O)NC1=C(C=CC(=C1)C2=CN3C=CC=NC3=N2)OC	MLS001242395-01	6622773		
Query	ML048	CCC1=C(C=C2C(=C1)C(=O)C(=C(O2)C)C3=NC4=CC=CC=C4N3C)OC(=O)C	MLS001242385-01	3092570		
Query	ML050	C1C=CC2C1C(NC3=CC=CC=C23)C4=CC5=C(C=C4Br)OCO5	MLS000555771-01|NCGC00260860-01|NCGC00387787-01	3136844		
Query	ML051	CC(=O)C1=CC2=C(C=C1)NC(C3C2C=CC3)C4=CC5=C(C=C4Br)OCO5	MLS001242405-01|NCGC00344023-01|NCGC00344023-02|NCGC00344023-03	5322399		
Query	ML052	CCCN(CCC)CCNC(=O)C1CCN(CC1)CC2=C(OC(=N2)C3=CC=C(C=C3)Cl)C	MLS000095184-01|MLS000877124-01|NCGC00069692-01	3240581		
Query	ML053	CC1CCCN(C1)C(C2=CC=CC=C2)C(=O)NC3=CC4=C(C=C3)OCCO4	MLS000086415-01|NCGC00043963-01	3240990		
